Season,Team,Player,Salary
2015-16,Los Angeles Lakers,Robert Sacre,981348
2015-16,Los Angeles Lakers,Jordan Clarkson,845059
2015-16,Los Angeles Lakers,Tarik Black,845059
2015-16,Los Angeles Lakers,Anthony Brown,700000
2015-16,Los Angeles Lakers,Marcelo Huertas,525093
2015-16,Los Angeles Lakers,Jonathan Holmes,100000
2015-16,Memphis Grizzlies,Marc Gasol,19688000
2015-16,Memphis Grizzlies,Mike Conley,9680000
2015-16,Memphis Grizzlies,Zach Randolph,9638555
2015-16,Memphis Grizzlies,Lance Stephenson,9000000
2015-16,Memphis Grizzlies,Brandan Wright,5464000
2015-16,Memphis Grizzlies,Tony Allen,5158539
2015-16,Memphis Grizzlies,Chris Andersen,5000000
2015-16,Memphis Grizzlies,Mario Chalmers,4300000
2015-16,Memphis Grizzlies,Vince Carter,4088019
2015-16,Memphis Grizzlies,Matt Barnes,3542500
2015-16,Memphis Grizzlies,Jordan Adams,1404600
2015-16,Memphis Grizzlies,Jarell Martin,1230840
2015-16,Memphis Grizzlies,P.J. Hairston,1201440
2015-16,Memphis Grizzlies,Ryan Hollins,1019116
2015-16,Memphis Grizzlies,James Ennis,845059
2015-16,Memphis Grizzlies,JaMychal Green,845059
2015-16,Memphis Grizzlies,Russ Smith,315022
2015-16,Memphis Grizzlies,Jordan Farmar,184564
2015-16,Memphis Grizzlies,Ray McCallum,100007
2015-16,Memphis Grizzlies,Xavier Munford,86998
2015-16,Memphis Grizzlies,Bryce Cotton,60004
2015-16,Memphis Grizzlies,Elliot Williams,58068
2015-16,Memphis Grizzlies,Alex Stepheson,31071
2015-16,Memphis Grizzlies,Briante Weber,31071
2015-16,Miami Heat,Chris Bosh,22192730
2015-16,Miami Heat,Dwyane Wade,20000000
2015-16,Miami Heat,Goran Dragic,14783000
2015-16,Miami Heat,Luol Deng,10151612
2015-16,Miami Heat,Josh McRoberts,5543725
2015-16,Miami Heat,Udonis Haslem,2854940
2015-16,Miami Heat,Justise Winslow,2481720
2015-16,Miami Heat,Beno Udrih,2080465
2015-16,Miami Heat,Amar'e Stoudemire,1499187
2015-16,Miami Heat,Gerald Green,1362897
2015-16,Miami Heat,Hassan Whiteside,981348
2015-16,Miami Heat,Tyler Johnson,845059
2015-16,Miami Heat,Josh Richardson,525093
2015-16,Miami Heat,Joe Johnson,399192
2015-16,Miami Heat,Dorell Wright,8871
2015-16,Miami Heat,Briante Weber,6214
2015-16,Milwaukee Bucks,Greg Monroe,16407500
2015-16,Milwaukee Bucks,Khris Middleton,14700000
2015-16,Milwaukee Bucks,O.J. Mayo,8000000
2015-16,Milwaukee Bucks,Greivis Vasquez,6600000
2015-16,Milwaukee Bucks,Jabari Parker,5152440
2015-16,Milwaukee Bucks,Larry Sanders,5000000
2015-16,Milwaukee Bucks,Jerryd Bayless,3000000
2015-16,Milwaukee Bucks,John Henson,2943221
2015-16,Milwaukee Bucks,Michael Carter-Williams,2399040
2015-16,Milwaukee Bucks,Miles Plumlee,2109294
2015-16,Milwaukee Bucks,Giannis Antetokounmpo,1953960
2015-16,Milwaukee Bucks,Rashad Vaughn,1733040
2015-16,Milwaukee Bucks,Tyler Ennis,1662360
2015-16,Milwaukee Bucks,Damien Inglis,855000
2015-16,Milwaukee Bucks,Johnny O'Bryant,845059
2015-16,Milwaukee Bucks,Steve Novak,403224
2015-16,Milwaukee Bucks,Jared Cunningham,56052
2015-16,Minnesota Timberwolves,Ricky Rubio,12700000
2015-16,Minnesota Timberwolves,Nikola Pekovic,12100000
2015-16,Minnesota Timberwolves,Kevin Garnett,8500000
2015-16,Minnesota Timberwolves,Kevin Martin,7085000
2015-16,Minnesota Timberwolves,Andrew Wiggins,5758680
2015-16,Minnesota Timberwolves,Karl-Anthony Towns,5703600
2015-16,Minnesota Timberwolves,Anthony Bennett,4836300
2015-16,Minnesota Timberwolves,Nemanja Bjelica,3950001
2015-16,Minnesota Timberwolves,Zach LaVine,2148360
2015-16,Minnesota Timberwolves,Shabazz Muhammad,2056920
2015-16,Minnesota Timberwolves,Adreian Payne,1938840
2015-16,Minnesota Timberwolves,Andre Miller,1499187
2015-16,Minnesota Timberwolves,Tayshaun Prince,1499187
2015-16,Minnesota Timberwolves,Gorgui Dieng,1474440
2015-16,Minnesota Timberwolves,Tyus Jones,1282080
2015-16,Minnesota Timberwolves,Damjan Rudez,1149500
2015-16,Minnesota Timberwolves,Greg Smith,252353
2015-16,New Orleans Hornets,Eric Gordon,15514031
2015-16,New Orleans Hornets,Tyreke Evans,10734586
2015-16,New Orleans Hornets,Jrue Holiday,10595507
2015-16,New Orleans Hornets,Omer Asik,9213483
2015-16,New Orleans Hornets,Ryan Anderson,8500000
2015-16,New Orleans Hornets,Anthony Davis,7070730
2015-16,New Orleans Hornets,Alexis Ajinca,4539607
2015-16,New Orleans Hornets,Quincy Pondexter,3382023
2015-16,New Orleans Hornets,Norris Cole,3036927
2015-16,New Orleans Hornets,Dante Cunningham,2850000
2015-16,New Orleans Hornets,Kendrick Perkins,1499187
2015-16,New Orleans Hornets,Alonzo Gee,1320000
2015-16,New Orleans Hornets,Toney Douglas,1157718
2015-16,New Orleans Hornets,Luke Babbitt,1100602
2015-16,New Orleans Hornets,Jarnell Stokes,525093
2015-16,New Orleans Hornets,Bryce Dejean-Jones,164674
2015-16,New Orleans Hornets,Tim Frazier,140010
2015-16,New Orleans Hornets,Jordan Hamilton,114160
2015-16,New Orleans Hornets,James Ennis,70005
2015-16,New Orleans Hornets,Jimmer Fredette,58068
2015-16,New Orleans Hornets,Orlando Johnson,50003
2015-16,New Orleans Hornets,Nate Robinson,16129
2015-16,New York Knicks,Carmelo Anthony,22875000
2015-16,New York Knicks,Robin Lopez,12650000
2015-16,New York Knicks,Arron Afflalo,8000000
2015-16,New York Knicks,Jose Calderon,7402812
2015-16,New York Knicks,Derrick Williams,4400000
2015-16,New York Knicks,Kristaps Porzingis,4131720
2015-16,New York Knicks,Kyle O'Quinn,3750000
2015-16,New York Knicks,Kevin Seraphin,2814000
2015-16,New York Knicks,Lance Thomas,1636842
2015-16,New York Knicks,Lou Amundson,1635476
2015-16,New York Knicks,Jerian Grant,1572360
2015-16,New York Knicks,Sasha Vujacic,1356146
2015-16,New York Knicks,Cleanthony Early,845059
2015-16,New York Knicks,Langston Galloway,845059
2015-16,New York Knicks,Tony Wroten,165290
2015-16,New York Knicks,Jimmer Fredette,58068
2015-16,New York Knicks,Thanasis Antetokounmpo,31071
2015-16,Oklahoma City Thunder,Kevin Durant,20158622
2015-16,Oklahoma City Thunder,Russell Westbrook,16744218
2015-16,Oklahoma City Thunder,Enes Kanter,16407500
2015-16,Oklahoma City Thunder,Serge Ibaka,12250000
2015-16,Oklahoma City Thunder,Dion Waiters,5138430
2015-16,Oklahoma City Thunder,Kyle Singler,4500000
2015-16,Oklahoma City Thunder,Nick Collison,3750000
2015-16,Oklahoma City Thunder,Anthony Morrow,3344000
2015-16,Oklahoma City Thunder,Randy Foye,3135000
2015-16,Oklahoma City Thunder,Steven Adams,2279040
2015-16,Oklahoma City Thunder,Cameron Payne,2021520
2015-16,Oklahoma City Thunder,Mitch McGary,1463040
2015-16,Oklahoma City Thunder,Andre Roberson,1210800
2015-16,Oklahoma City Thunder,Josh Huestis,1140240
2015-16,Oklahoma City Thunder,Nazr Mohammed,345966
2015-16,Orlando Magic,Nikola Vucevic,11250000
2015-16,Orlando Magic,Brandon Jennings,8344497
2015-16,Orlando Magic,Ersan Ilyasova,7900000
2015-16,Orlando Magic,Victor Oladipo,5192520
2015-16,Orlando Magic,C.J. Watson,5000000
2015-16,Orlando Magic,Jason Smith,4300000
2015-16,Orlando Magic,Aaron Gordon,4171680
2015-16,Orlando Magic,Mario Hezonja,3741480
2015-16,Orlando Magic,Elfrid Payton,2505720
2015-16,Orlando Magic,Andrew Nicholson,2380594
2015-16,Orlando Magic,Evan Fournier,2288205
2015-16,Orlando Magic,Shabazz Napier,1294440
2015-16,Orlando Magic,Jared Cunningham,1227286
2015-16,Orlando Magic,Chris Copeland,1150000
2015-16,Orlando Magic,Dewayne Dedmon,947276
2015-16,Orlando Magic,Devyn Marble,845059
2015-16,Orlando Magic,Joe Harris,845059
2015-16,Orlando Magic,Keith Appling,62141
2015-16,Philadelphia 76ers,JaVale McGee,12000000
2015-16,Philadelphia 76ers,Gerald Wallace,10105855
2015-16,Philadelphia 76ers,Carl Landry,6500000
2015-16,Philadelphia 76ers,Joel Embiid,4626960
2015-16,Philadelphia 76ers,Jahlil Okafor,4582680
2015-16,Philadelphia 76ers,Nerlens Noel,3457800
2015-16,Philadelphia 76ers,Nik Stauskas,2869440
2015-16,Philadelphia 76ers,Sonny Weems,2814000
2015-16,Philadelphia 76ers,Furkan Aldemir,2683841
2015-16,Philadelphia 76ers,Tony Wroten,2179354
2015-16,Philadelphia 76ers,Kendall Marshall,2144722
2015-16,Philadelphia 76ers,Ish Smith,1100602
2015-16,Philadelphia 76ers,Richaun Holmes,1075000
2015-16,Philadelphia 76ers,Robert Covington,1000000
2015-16,Philadelphia 76ers,Hollis Thompson,947276
2015-16,Philadelphia 76ers,Isaiah Canaan,947276
2015-16,Philadelphia 76ers,Elton Brand,878222
2015-16,Philadelphia 76ers,JaKarr Sampson,845059
2015-16,Philadelphia 76ers,Jerami Grant,845059
2015-16,Philadelphia 76ers,Pierre Jackson,750000
2015-16,Philadelphia 76ers,T.J. McConnell,525093
2015-16,Philadelphia 76ers,Christian Wood,298278
2015-16,Philadelphia 76ers,Scottie Wilbekin,200000
2015-16,Philadelphia 76ers,Phil Pressey,150010
2015-16,Phoenix Suns,Brandon Knight,13500000
2015-16,Phoenix Suns,Eric Bledsoe,13500000
2015-16,Phoenix Suns,Tyson Chandler,13000000
2015-16,Phoenix Suns,Mirza Teletovic,5500000
2015-16,Phoenix Suns,P.J. Tucker,5500000
2015-16,Phoenix Suns,Alex Len,3807120
2015-16,Phoenix Suns,Kris Humphries,3440000
2015-16,Phoenix Suns,Devin Booker,2127840
2015-16,Phoenix Suns,T.J. Warren,2041080
2015-16,Phoenix Suns,DeJuan Blair,2000000
2015-16,Phoenix Suns,Ronnie Price,1362897
2015-16,Phoenix Suns,Archie Goodwin,1160160
2015-16,Phoenix Suns,Jon Leuer,1035000
2015-16,Phoenix Suns,John Jenkins,981348
2015-16,Phoenix Suns,Cory Jefferson,254779
2015-16,Phoenix Suns,Chase Budinger,252593
2015-16,Phoenix Suns,Bryce Cotton,215015
2015-16,Phoenix Suns,Lorenzo Brown,112104
2015-16,Phoenix Suns,Alan Williams,108747
2015-16,Phoenix Suns,Phil Pressey,100007
2015-16,Phoenix Suns,Jordan McRae,62141
2015-16,Phoenix Suns,Orlando Johnson,50003
2015-16,Portland Trailblazers,Anderson Varejao,10258800
2015-16,Portland Trailblazers,Al-Farouq Aminu,8042895
2015-16,Portland Trailblazers,Ed Davis,6980802
2015-16,Portland Trailblazers,Gerald Henderson,6000000
2015-16,Portland Trailblazers,Chris Kaman,5016000
2015-16,Portland Trailblazers,Damian Lillard,4236287
2015-16,Portland Trailblazers,Mike Miller,3083181
2015-16,Portland Trailblazers,Meyers Leonard,3075880
2015-16,Portland Trailblazers,Maurice Harkless,2894059
2015-16,Portland Trailblazers,Brian Roberts,2854940
2015-16,Portland Trailblazers,Noah Vonleh,2637720
2015-16,Portland Trailblazers,C.J. McCollum,2525160
2015-16,Portland Trailblazers,Mason Plumlee,1415520
2015-16,Portland Trailblazers,Allen Crabbe,947276
2015-16,Portland Trailblazers,Tim Frazier,845059
2015-16,Portland Trailblazers,Pat Connaughton,625093
2015-16,Portland Trailblazers,Cliff Alexander,525093
2015-16,Portland Trailblazers,Luis Montero,525093
2015-16,Sacramento Kings,DeMarcus Cousins,15851950
2015-16,Sacramento Kings,Rudy Gay,12403101
2015-16,Sacramento Kings,Rajon Rondo,9500000
2015-16,Sacramento Kings,Kosta Koufos,7700000
2015-16,Sacramento Kings,Marco Belinelli,6060606
2015-16,Sacramento Kings,Darren Collison,5013559
2015-16,Sacramento Kings,Willie Cauley-Stein,3398280
2015-16,Sacramento Kings,Ben McLemore,3156600
2015-16,Sacramento Kings,Omri Casspi,2836186
2015-16,Sacramento Kings,Caron Butler,1449187
2015-16,Sacramento Kings,James Anderson,1015421
2015-16,Sacramento Kings,Quincy Acy,981348
2015-16,Sacramento Kings,Seth Curry,947276
2015-16,Sacramento Kings,Eric Moreland,845059
2015-16,Sacramento Kings,Duje Dukan,525093
2015-16,San Antonio Spurs,LaMarcus Aldridge,19689000
2015-16,San Antonio Spurs,Kawhi Leonard,16407500
2015-16,San Antonio Spurs,Tony Parker,13437500
2015-16,San Antonio Spurs,Danny Green,10000000
2015-16,San Antonio Spurs,Boris Diaw,7500000
2015-16,San Antonio Spurs,Tim Duncan,5250000
2015-16,San Antonio Spurs,Patty Mills,3578947
2015-16,San Antonio Spurs,Manu Ginobili,2814000
2015-16,San Antonio Spurs,David West,1499187
2015-16,San Antonio Spurs,Matt Bonner,1499187
2015-16,San Antonio Spurs,Rasual Butler,1499187
2015-16,San Antonio Spurs,Boban Marjanovic,1200000
2015-16,San Antonio Spurs,Kyle Anderson,1142880
2015-16,San Antonio Spurs,Ray McCallum,947276
2015-16,San Antonio Spurs,Jonathon Simmons,525093
2015-16,San Antonio Spurs,Andre Miller,381450
2015-16,San Antonio Spurs,Kevin Martin,310483
2015-16,Toronto Raptors,DeMarre Carroll,13600000
2015-16,Toronto Raptors,Kyle Lowry,12000000
2015-16,Toronto Raptors,DeMar DeRozan,10050000
2015-16,Toronto Raptors,Cory Joseph,7000000
2015-16,Toronto Raptors,Patrick Patterson,6268675
2015-16,Toronto Raptors,Jonas Valanciunas,4660482
2015-16,Toronto Raptors,Terrence Ross,3553917
2015-16,Toronto Raptors,Luis Scola,2900000
2015-16,Toronto Raptors,Bismack Biyombo,2814000
2015-16,Toronto Raptors,James Johnson,2500000
2015-16,Toronto Raptors,Lucas Nogueira,1842000
2015-16,Toronto Raptors,Bruno Caboclo,1524000
2015-16,Toronto Raptors,Delon Wright,1509360
2015-16,Toronto Raptors,Anthony Bennett,947276
2015-16,Toronto Raptors,Norman Powell,650000
2015-16,Toronto Raptors,Jason Thompson,323381
2015-16,Utah Jazz,Gordon Hayward,15409570
2015-16,Utah Jazz,Derrick Favors,12000000
2015-16,Utah Jazz,Alec Burks,9213484
2015-16,Utah Jazz,Trevor Booker,4775000
2015-16,Utah Jazz,Dante Exum,3777720
2015-16,Utah Jazz,Tibor Pleiss,2900000
2015-16,Utah Jazz,Trey Burke,2658240
2015-16,Utah Jazz,Shelvin Mack,2433333
2015-16,Utah Jazz,Trey Lyles,2239800
2015-16,Utah Jazz,Joe Ingles,2100000
2015-16,Utah Jazz,Rodney Hood,1348440
2015-16,Utah Jazz,Rudy Gobert,1175880
2015-16,Utah Jazz,Chris Johnson,947276
2015-16,Utah Jazz,Grant Jerrett,947276
2015-16,Utah Jazz,Jeff Withey,947276
2015-16,Utah Jazz,Raul Neto,840000
2015-16,Utah Jazz,Elijah Millsap,217494
2015-16,Utah Jazz,Erick Green,62141
2015-16,Utah Jazz,J.J. O'Brien,31071
2015-16,Washington Wizards,John Wall,15851950
2015-16,Washington Wizards,Nene Hilario,13000000
2015-16,Washington Wizards,Marcin Gortat,11217391
2015-16,Washington Wizards,Markieff Morris,8000000
2015-16,Washington Wizards,Martell Webster,5713500
2015-16,Washington Wizards,Bradley Beal,5694674
2015-16,Washington Wizards,Otto Porter,4662960
2015-16,Washington Wizards,Jared Dudley,4375000
2015-16,Washington Wizards,Alan Anderson,4000000
2015-16,Washington Wizards,Drew Gooden,3300000
2015-16,Washington Wizards,Ramon Sessions,2170465
2015-16,Washington Wizards,Gary Neal,2139000
2015-16,Washington Wizards,Kelly Oubre,1920240
2015-16,Washington Wizards,Garrett Temple,1100602
2015-16,Washington Wizards,Jarell Eddie,555039
2015-16,Washington Wizards,J.J. Hickson,353463
2015-16,Washington Wizards,Marcus Thornton,227935
2015-16,Washington Wizards,Ryan Hollins,184564
2014-15,Atlanta Hawks,Al Horford,12000000
2014-15,Atlanta Hawks,Paul Millsap,9500000
2014-15,Atlanta Hawks,Jeff Teague,8000000
2014-15,Atlanta Hawks,Kyle Korver,6253521
2014-15,Atlanta Hawks,Thabo Sefolosha,4150000
2014-15,Atlanta Hawks,Mike Scott,3333333
2014-15,Atlanta Hawks,DeMarre Carroll,2500000
2014-15,Atlanta Hawks,Shelvin Mack,2433333
2014-15,Atlanta Hawks,Elton Brand,2000000
2014-15,Atlanta Hawks,Kent Bazemore,2000000
2014-15,Atlanta Hawks,Dennis Schroder,1690680
2014-15,Atlanta Hawks,John Jenkins,1312920
2014-15,Atlanta Hawks,Pero Antic,1250000
2014-15,Atlanta Hawks,John Salmons,1000000
2014-15,Atlanta Hawks,Mike Muscala,816482
2014-15,Atlanta Hawks,Austin Daye,200166
2014-15,Atlanta Hawks,Jarell Eddie,29843
2014-15,Boston Celtics,Gerald Wallace,10105855
2014-15,Boston Celtics,Isaiah Thomas,7238606
2014-15,Boston Celtics,Avery Bradley,7191011
2014-15,Boston Celtics,Brandon Bass,6950000
2014-15,Boston Celtics,Jonas Jerebko,4500000
2014-15,Boston Celtics,Marcus Smart,3283320
2014-15,Boston Celtics,Evan Turner,3278000
2014-15,Boston Celtics,Will Bynum,2915908
2014-15,Boston Celtics,Nate Robinson,2106720
2014-15,Boston Celtics,Vitor Faverani,2090000
2014-15,Boston Celtics,Kelly Olynyk,2075760
2014-15,Boston Celtics,Luigi Datome,1750000
2014-15,Boston Celtics,Tyler Zeller,1703760
2014-15,Boston Celtics,James Young,1674480
2014-15,Boston Celtics,Jared Sullinger,1424520
2014-15,Boston Celtics,Shavlik Randolph,1227985
2014-15,Boston Celtics,Chris Douglas-Roberts,1063384
2014-15,Boston Celtics,Jae Crowder,915243
2014-15,Boston Celtics,Phil Pressey,816482
2014-15,Boston Celtics,Chris Babb,72234
2014-15,Boston Celtics,Andre Dawkins,59687
2014-15,Brooklyn Nets,Joe Johnson,23180790
2014-15,Brooklyn Nets,Deron Williams,19754465
2014-15,Brooklyn Nets,Brook Lopez,15719000
2014-15,Brooklyn Nets,Thaddeus Young,9410869
2014-15,Brooklyn Nets,Jarrett Jack,6300000
2014-15,Brooklyn Nets,Travis Outlaw,4000000
2014-15,Brooklyn Nets,Mirza Teletovic,3368100
2014-15,Brooklyn Nets,Bojan Bogdanovic,3278000
2014-15,Brooklyn Nets,Sergey Karasev,1533840
2014-15,Brooklyn Nets,Mason Plumlee,1357080
2014-15,Brooklyn Nets,Alan Anderson,1276061
2014-15,Brooklyn Nets,Jerome Jordan,816482
2014-15,Brooklyn Nets,Darius Morris,702156
2014-15,Brooklyn Nets,Cory Jefferson,507336
2014-15,Brooklyn Nets,Markel Brown,507336
2014-15,Brooklyn Nets,Brandon Davies,336198
2014-15,Brooklyn Nets,Earl Clark,125104
2014-15,Charlotte Hornets,Al Jefferson,13500000
2014-15,Charlotte Hornets,Tyrus Thomas,9388430
2014-15,Charlotte Hornets,Lance Stephenson,9000000
2014-15,Charlotte Hornets,Marvin Williams,7000000
2014-15,Charlotte Hornets,Gerald Henderson,6000000
2014-15,Charlotte Hornets,Michael Kidd-Gilchrist,5016960
2014-15,Charlotte Hornets,Cody Zeller,4300560
2014-15,Charlotte Hornets,Bismack Biyombo,4086454
2014-15,Charlotte Hornets,Mo Williams,3750000
2014-15,Charlotte Hornets,Kemba Walker,3452183
2014-15,Charlotte Hornets,Brian Roberts,2732000
2014-15,Charlotte Hornets,Noah Vonleh,2524200
2014-15,Charlotte Hornets,Jannero Pargo,1448490
2014-15,Charlotte Hornets,Jason Maxiell,1316809
2014-15,Charlotte Hornets,P.J. Hairston,1149720
2014-15,Charlotte Hornets,Jeff Taylor,915243
2014-15,Charlotte Hornets,Troy Daniels,816482
2014-15,Chicago Bulls,Derrick Rose,18862876
2014-15,Chicago Bulls,Carlos Boozer,13550000
2014-15,Chicago Bulls,Joakim Noah,12700000
2014-15,Chicago Bulls,Taj Gibson,8000000
2014-15,Chicago Bulls,Pau Gasol,7128000
2014-15,Chicago Bulls,Nikola Mirotic,5305000
2014-15,Chicago Bulls,Mike Dunleavy,3000000
2014-15,Chicago Bulls,Kirk Hinrich,2730000
2014-15,Chicago Bulls,Doug McDermott,2277960
2014-15,Chicago Bulls,Jimmy Butler,2119214
2014-15,Chicago Bulls,Tony Snell,1472400
2014-15,Chicago Bulls,Nazr Mohammed,1448490
2014-15,Chicago Bulls,E'Twaun Moore,948163
2014-15,Chicago Bulls,Aaron Brooks,915243
2014-15,Chicago Bulls,Cameron Bairstow,507336
2014-15,Cleveland Cavaliers,LeBron James,20644400
2014-15,Cleveland Cavaliers,Kevin Love,15719063
2014-15,Cleveland Cavaliers,Anderson Varejao,9800000
2014-15,Cleveland Cavaliers,Kyrie Irving,7459925
2014-15,Cleveland Cavaliers,J.R. Smith,6515510
2014-15,Cleveland Cavaliers,Tristan Thompson,5421333
2014-15,Cleveland Cavaliers,Timofey Mozgov,4650000
2014-15,Cleveland Cavaliers,Iman Shumpert,2761114
2014-15,Cleveland Cavaliers,Mike Miller,2732000
2014-15,Cleveland Cavaliers,Brendan Haywood,2000000
2014-15,Cleveland Cavaliers,James Jones,1448490
2014-15,Cleveland Cavaliers,Shawn Marion,1448490
2014-15,Cleveland Cavaliers,Joe Harris,884879
2014-15,Cleveland Cavaliers,Matthew Dellavedova,816482
2014-15,Cleveland Cavaliers,Kendrick Perkins,434547
2014-15,Cleveland Cavaliers,A.J. Price,281484
2014-15,Cleveland Cavaliers,Will Cherry,77560
2014-15,Dallas Mavericks,Chandler Parsons,14700000
2014-15,Dallas Mavericks,Tyson Chandler,14596888
2014-15,Dallas Mavericks,Rajon Rondo,12909090
2014-15,Dallas Mavericks,Monta Ellis,8720000
2014-15,Dallas Mavericks,Dirk Nowitzki,7974482
2014-15,Dallas Mavericks,Brendan Haywood,7798000
2014-15,Dallas Mavericks,Devin Harris,3878896
2014-15,Dallas Mavericks,Raymond Felton,3793693
2014-15,Dallas Mavericks,Richard Jefferson,1448490
2014-15,Dallas Mavericks,Charlie Villanueva,1316809
2014-15,Dallas Mavericks,J.J. Barea,1302579
2014-15,Dallas Mavericks,Bernard James,1259805
2014-15,Dallas Mavericks,Al-Farouq Aminu,981084
2014-15,Dallas Mavericks,Greg Smith,948163
2014-15,Dallas Mavericks,Gal Mekel,816482
2014-15,Dallas Mavericks,Ricky Ledo,816482
2014-15,Dallas Mavericks,Dwight Powell,507336
2014-15,Dallas Mavericks,Amar'e Stoudemire,477150
2014-15,Denver Nuggets,Ty Lawson,11595506
2014-15,Denver Nuggets,Danilo Gallinari,10854850
2014-15,Denver Nuggets,Wilson Chandler,6754913
2014-15,Denver Nuggets,J.J. Hickson,5381750
2014-15,Denver Nuggets,Darrell Arthur,3457149
2014-15,Denver Nuggets,Randy Foye,3000000
2014-15,Denver Nuggets,Jameer Nelson,2750000
2014-15,Denver Nuggets,Thomas Robinson,2596490
2014-15,Denver Nuggets,Kenneth Faried,2373538
2014-15,Denver Nuggets,Joffrey Lauvergne,1790281
2014-15,Denver Nuggets,Jusuf Nurkic,1762280
2014-15,Denver Nuggets,Gary Harris,1519200
2014-15,Denver Nuggets,Victor Claver,1370000
2014-15,Denver Nuggets,Will Barton,915243
2014-15,Denver Nuggets,Erick Green,507336
2014-15,Denver Nuggets,Ian Clark,91254
2014-15,Denver Nuggets,Shavlik Randolph,28894
2014-15,Denver Nuggets,Jamaal Franklin,19211
2014-15,Detroit Pistons,Josh Smith,14000000
2014-15,Detroit Pistons,Brandon Jennings,8000000
2014-15,Detroit Pistons,Tayshaun Prince,7707865
2014-15,Detroit Pistons,Jodie Meeks,6000000
2014-15,Detroit Pistons,Greg Monroe,5479933
2014-15,Detroit Pistons,Caron Butler,4500000
2014-15,Detroit Pistons,Joel Anthony,3800000
2014-15,Detroit Pistons,Anthony Tolliver,3000000
2014-15,Detroit Pistons,Kentavious Caldwell-Pope,2772480
2014-15,Detroit Pistons,Andre Drummond,2568360
2014-15,Detroit Pistons,Reggie Jackson,2325680
2014-15,Detroit Pistons,Aaron Gray,1227985
2014-15,Detroit Pistons,Cartier Martin,1145685
2014-15,Detroit Pistons,Spencer Dinwiddie,700000
2014-15,Detroit Pistons,John Lucas III,527311
2014-15,Detroit Pistons,Shawne Williams,361172
2014-15,Detroit Pistons,Quincy Miller,290724
2014-15,Golden State Warriors,David Lee,15012000
2014-15,Golden State Warriors,Andrew Bogut,12972973
2014-15,Golden State Warriors,Andre Iguodala,12289544
2014-15,Golden State Warriors,Stephen Curry,10629213
2014-15,Golden State Warriors,Shaun Livingston,5305000
2014-15,Golden State Warriors,Marreese Speights,3657500
2014-15,Golden State Warriors,Klay Thompson,3245152
2014-15,Golden State Warriors,Harrison Barnes,3049920
2014-15,Golden State Warriors,Leandro Barbosa,1448490
2014-15,Golden State Warriors,Brandon Rush,1145685
2014-15,Golden State Warriors,Festus Ezeli,1112880
2014-15,Golden State Warriors,Nemanja Nedovic,1104240
2014-15,Golden State Warriors,Draymond Green,915243
2014-15,Golden State Warriors,Justin Holiday,816482
2014-15,Golden State Warriors,Ognjen Kuzmic,816482
2014-15,Golden State Warriors,James Michael McAdoo,259637
2014-15,Houston Rockets,Dwight Howard,21436271
2014-15,Houston Rockets,James Harden,14728844
2014-15,Houston Rockets,Trevor Ariza,8600000
2014-15,Houston Rockets,Luis Scola,6541037
2014-15,Houston Rockets,Jason Terry,5450000
2014-15,Houston Rockets,Kostas Papanikolaou,4797664
2014-15,Houston Rockets,Corey Brewer,4702500
2014-15,Houston Rockets,Pablo Prigioni,1662961
2014-15,Houston Rockets,Terrence Jones,1618680
2014-15,Houston Rockets,Francisco Garcia,1316809
2014-15,Houston Rockets,Donatas Motiejunas,1236600
2014-15,Houston Rockets,Clint Capela,1189200
2014-15,Houston Rockets,Jeff Adrien,981084
2014-15,Houston Rockets,Joey Dorsey,948163
2014-15,Houston Rockets,Josh Smith,945779
2014-15,Houston Rockets,Ish Smith,915243
2014-15,Houston Rockets,Patrick Beverley,915243
2014-15,Houston Rockets,K.J. McDaniels,507336
2014-15,Houston Rockets,Nick Johnson,507336
2014-15,Houston Rockets,Tarik Black,176075
2014-15,Indiana Pacers,Paul George,15800000
2014-15,Indiana Pacers,Roy Hibbert,14898938
2014-15,Indiana Pacers,David West,12000000
2014-15,Indiana Pacers,George Hill,8000000
2014-15,Indiana Pacers,Luis Scola,4500000
2014-15,Indiana Pacers,C.J. Miles,4205000
2014-15,Indiana Pacers,Ian Mahinmi,4000000
2014-15,Indiana Pacers,Chris Copeland,3130000
2014-15,Indiana Pacers,C.J. Watson,2077000
2014-15,Indiana Pacers,Solomon Hill,1302840
2014-15,Indiana Pacers,Rodney Stuckey,1227985
2014-15,Indiana Pacers,Damjan Rudez,1100000
2014-15,Indiana Pacers,Donald Sloan,948163
2014-15,Indiana Pacers,Lavoy Allen,948163
2014-15,Indiana Pacers,Shayne Whittington,507336
2014-15,Indiana Pacers,A.J. Price,137614
2014-15,Los Angeles Clippers,Chris Paul,20068563
2014-15,Los Angeles Clippers,Blake Griffin,17674613
2014-15,Los Angeles Clippers,DeAndre Jordan,11440123
2014-15,Los Angeles Clippers,J.J. Redick,6792500
2014-15,Los Angeles Clippers,Jamal Crawford,5450000
2014-15,Los Angeles Clippers,Spencer Hawes,5305000
2014-15,Los Angeles Clippers,Matt Barnes,3396250
2014-15,Los Angeles Clippers,Carlos Delfino,3250000
2014-15,Los Angeles Clippers,Austin Rivers,2439840
2014-15,Los Angeles Clippers,Jordan Farmar,2100000
2014-15,Los Angeles Clippers,Miroslav Raduljica,1500000
2014-15,Los Angeles Clippers,Hedo Turkoglu,1448490
