Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
164,Willie Green\greenwi01,SG,27,PHI,81,60,22.6,3.5,8.1,0.435,0.6,2,0.317,2.9,6.1,0.473,0.473,0.8,1,0.729,0.4,1.2,1.6,2,0.7,0.2,0.8,1.9,8.5
198,Andre Iguodala\iguodan01,SF,25,PHI,82,82,39.9,6.6,14,0.473,1,3.2,0.307,5.6,10.8,0.521,0.507,4.6,6.4,0.724,1.1,4.6,5.7,5.3,1.6,0.4,2.7,1.9,18.8
202,Royal Ivey\iveyro01,SG,27,PHI,71,0,12.1,1,2.9,0.332,0.5,1.6,0.342,0.4,1.3,0.319,0.425,0.5,0.6,0.791,0.3,0.8,1.1,0.6,0.5,0.1,0.3,1.1,3
258,Donyell Marshall\marshdo01,PF,35,PHI,25,0,7.6,1.3,2.9,0.452,1,2.2,0.455,0.3,0.7,0.444,0.623,0.1,0.2,0.5,0.2,1.4,1.6,0.6,0.2,0.2,0.2,1,3.8
279,Andre Miller\millean02,PG,32,PHI,82,82,36.3,6,12.7,0.473,0.2,0.6,0.283,5.8,12,0.483,0.48,4.1,5,0.826,1.5,3,4.5,6.5,1.3,0.2,2.4,2.4,16.3
337,Theo Ratliff\ratlith01,C,35,PHI,46,0,12.6,0.7,1.4,0.531,0,0,,0.7,1.4,0.531,0.531,0.5,0.8,0.6,1,1.8,2.8,0.2,0.4,1,0.3,1.7,1.9
354,Kareem Rush\rushka01,SG,28,PHI,25,1,8,0.8,2.3,0.345,0.4,1.3,0.303,0.4,1,0.4,0.431,0.2,0.2,1,0,0.6,0.6,0.6,0.2,0,0.4,0.4,2.2
375,Marreese Speights\speigma01,C,21,PHI,79,2,16,3.2,6.4,0.502,0,0.1,0.25,3.2,6.3,0.506,0.504,1.3,1.7,0.773,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7
429,Lou Williams\willilo02,SG,22,PHI,81,0,23.7,4.1,10.4,0.398,0.8,2.7,0.286,3.4,7.7,0.438,0.435,3.8,4.8,0.79,0.4,1.6,2,3,1,0.2,1.9,1.6,12.8
444,Thaddeus Young\youngth01,PF,20,PHI,75,71,34.4,6.3,12.8,0.495,0.7,2.2,0.341,5.6,10.6,0.526,0.524,1.9,2.5,0.735,1.9,3.2,5,1.1,1.3,0.3,1.6,2.2,15.3
14,Lou Amundson\amundlo01,PF,$26 ,PHO,76,0,13.7,1.8,3.3,0.536,0,0,0,1.8,3.3,0.538,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2,4.2
28,Leandro Barbosa\barbole01,SG,26,PHO,70,11,24.4,5.2,10.8,0.482,1.3,3.4,0.375,3.9,7.4,0.532,0.542,2.4,2.8,0.881,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2
31,Matt Barnes\barnema02,PF,28,PHO,77,40,27,3.7,8.8,0.423,1.5,4.4,0.343,2.2,4.3,0.505,0.51,1.3,1.8,0.743,1,4.4,5.5,2.8,0.7,0.3,1.7,2.7,10.2
42,Raja Bell\bellra01,SG,32,PHO,22,22,32.4,3.5,8,0.429,2,4.3,0.468,1.5,3.8,0.386,0.554,0.7,1,0.762,0.4,2.5,2.9,1.3,0.6,0.1,0.8,2.6,9.6
64,Dee Brown\brownde03,PG,24,PHO,2,0,14,0.5,2.5,0.2,0.5,2,0.25,0,0.5,0,0.3,1,1,1,0,0.5,0.5,1.5,0,0,1.5,3,2.5
107,Boris Diaw\diawbo01,PF,26,PHO,22,0,24.5,3.6,6.4,0.567,0.2,0.6,0.357,3.4,5.8,0.591,0.585,0.8,1.2,0.692,1.1,2.7,3.8,2.1,0.5,0.4,1.7,1.8,8.3
117,Goran Dragic\dragigo01,PG,22,PHO,55,1,13.2,1.6,4.1,0.393,0.4,1,0.37,1.2,3.1,0.4,0.438,0.9,1.2,0.769,0.6,1.3,1.9,2,0.5,0.1,1.3,1.6,4.5
118,Jared Dudley\dudleja01,SF,23,PHO,48,0,15.2,1.9,3.9,0.481,0.5,1.4,0.394,1.4,2.6,0.528,0.55,1.2,1.7,0.691,1.2,1.9,3,0.8,0.8,0.1,0.7,1.4,5.5
185,Grant Hill*\hillgr01,SF,36,PHO,82,68,29.8,4.8,9.1,0.523,0.3,0.9,0.316,4.5,8.2,0.547,0.54,2.2,2.7,0.808,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12
248,Robin Lopez\lopezro01,C,20,PHO,60,7,10.2,1.2,2.3,0.518,0,0,0,1.2,2.3,0.522,0.518,0.8,1.1,0.691,0.9,1.1,2,0.1,0.2,0.7,0.5,1.6,3.2
295,Steve Nash*\nashst01,PG,34,PHO,74,74,33.6,5.8,11.5,0.503,1.5,3.3,0.439,4.3,8.2,0.529,0.566,2.6,2.8,0.933,0.3,2.8,3,9.7,0.7,0.1,3.4,1.5,15.7
306,Shaquille O'Neal*\onealsh01,C,36,PHO,75,75,30,6.8,11.2,0.609,0,0,0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8
340,Jason Richardson\richaja01,SG,28,PHO,58,57,33.1,6.3,13,0.488,1.8,4.6,0.383,4.6,8.4,0.545,0.556,1.9,2.5,0.778,1.1,3.4,4.5,1.9,1.1,0.4,1.2,1.8,16.4
