,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
107,459,Dion Waiters\waitedi01,SG,23,CLE,33,3,23.8,4.2,10.4,0.40399999999999997,0.7,2.6,0.256,3.5,7.8,0.45299999999999996,0.436,1.4,1.8,0.7829999999999999,0.4,1.4,1.7,2.2,1.3,0.3,1.5,1.8,10.5
108,12,Al-Farouq Aminu\aminual01,SF,24,DAL,74,3,18.5,2.0,4.8,0.41200000000000003,0.5,1.7,0.27399999999999997,1.5,3.1,0.485,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
109,30,J.J. Barea\bareajo01,PG,30,DAL,77,10,17.7,2.9,7.0,0.42,0.7,2.2,0.32299999999999995,2.2,4.8,0.46299999999999997,0.47,1.0,1.2,0.809,0.3,1.4,1.7,3.4,0.4,0.0,0.9,1.4,7.5
110,89,Tyson Chandler\chandty01,C,32,DAL,75,75,30.5,3.9,5.9,0.6659999999999999,0.0,0.0,,3.9,5.9,0.6659999999999999,0.6659999999999999,2.5,3.4,0.72,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3
111,108,Jae Crowder\crowdja01,SF,24,DAL,25,0,10.6,1.3,3.0,0.434,0.5,1.5,0.342,0.8,1.5,0.526,0.52,0.4,0.4,0.909,0.5,0.7,1.2,0.5,0.6,0.2,0.4,1.0,3.6
112,142,Monta Ellis\ellismo01,SG,29,DAL,80,80,33.7,7.5,16.9,0.445,1.0,3.6,0.285,6.5,13.4,0.48700000000000004,0.475,2.9,3.8,0.752,0.4,2.0,2.4,4.1,1.9,0.3,2.5,2.5,18.9
113,153,Raymond Felton\feltora01,PG,30,DAL,29,3,9.7,1.5,3.7,0.406,0.3,1.2,0.294,1.1,2.5,0.45799999999999996,0.45299999999999996,0.4,0.5,0.8,0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7
114,199,Devin Harris\harride01,PG,31,DAL,76,3,22.2,2.9,6.9,0.418,1.3,3.5,0.35700000000000004,1.6,3.4,0.48100000000000004,0.509,1.7,2.1,0.815,0.2,1.6,1.8,3.1,1.0,0.2,1.1,1.9,8.8
115,234,Bernard James\jamesbe01,C,29,DAL,16,2,9.9,0.8,1.7,0.444,0.0,0.0,,0.8,1.7,0.444,0.444,1.3,1.4,0.87,1.1,1.3,2.4,0.3,0.1,0.9,0.4,1.1,2.8
116,238,Richard Jefferson\jefferi01,SF,34,DAL,74,18,16.8,1.9,4.4,0.444,0.9,2.1,0.426,1.1,2.3,0.462,0.546,1.1,1.5,0.684,0.3,2.1,2.5,0.8,0.4,0.1,0.7,1.6,5.8
117,275,Ricky Ledo\ledori01,SG,22,DAL,5,0,2.2,0.0,1.2,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.2,0.4,0.5,0.2,0.2,0.4,0.2,0.0,0.0,0.4,0.2,0.2
