Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
386,Xavier Silas\silasxa01,SG,24,PHI,2,0,19.5,2,7.5,0.267,0.5,3,0.167,1.5,4.5,0.333,0.3,1,1.5,0.667,1,1,2,1.5,0,0,1.5,2.5,5.5
429,Evan Turner\turneev01,SF,23,PHI,65,20,26.4,4,9.1,0.446,0.2,0.8,0.224,3.9,8.3,0.466,0.455,1.1,1.7,0.676,0.4,5.4,5.8,2.8,0.6,0.3,1.6,1.8,9.4
439,Nikola Vucevic\vucevni01,C,21,PHI,51,15,15.9,2.6,5.7,0.45,0.1,0.2,0.375,2.5,5.5,0.452,0.455,0.4,0.7,0.529,1.7,3.1,4.8,0.6,0.4,0.7,0.6,2.2,5.5
464,Lou Williams\willilo02,PG,25,PHI,64,0,26.3,5,12.2,0.407,1.3,3.6,0.362,3.7,8.6,0.425,0.46,3.7,4.6,0.812,0.5,2,2.4,3.5,0.8,0.3,1.1,1.4,14.9
477,Sam Young\youngsa01,SF,26,PHI,14,0,9.6,0.9,3.1,0.295,0.4,0.6,0.625,0.6,2.6,0.222,0.352,0.6,1,0.643,0.4,1.1,1.5,0.4,0.4,0.3,0.5,0.8,2.9
478,Thaddeus Young\youngth01,PF,23,PHI,63,1,27.9,5.5,10.9,0.507,0,0.1,0.25,5.5,10.8,0.508,0.507,1.8,2.3,0.771,2.2,3,5.2,1.2,1,0.7,0.9,2,12.8
67,Shannon Brown\brownsh01,SG,26,PHO,59,19,23.7,4.3,10.1,0.42,1.2,3.2,0.362,3.1,6.9,0.446,0.477,1.4,1.7,0.808,0.6,2,2.7,1.2,0.7,0.3,1.1,1.1,11
88,Josh Childress\childjo01,SF,28,PHO,34,0,14.4,1.4,2.9,0.485,0.1,0.7,0.167,1.3,2.2,0.587,0.505,0,0.1,0,0.9,1.9,2.8,1,0.4,0.2,0.3,1.1,2.9
122,Jared Dudley\dudleja01,SG,26,PHO,65,60,31.1,4.8,9.9,0.485,1.2,3.2,0.383,3.6,6.7,0.535,0.547,1.8,2.5,0.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7
155,Channing Frye\fryech01,PF,28,PHO,64,59,26.1,4,9.6,0.416,1.4,4.1,0.346,2.6,5.5,0.469,0.49,1.1,1.3,0.89,1.1,4.8,5.9,1.4,0.7,1.1,1,2.8,10.5
174,Marcin Gortat\gortama01,C,27,PHO,66,66,32,6.5,11.7,0.555,0,0,0,6.5,11.6,0.557,0.555,2.5,3.8,0.649,2.8,7.2,10,0.9,0.7,1.5,1.4,2.2,15.4
209,Grant Hill*\hillgr01,SF,39,PHO,49,46,28.1,4.1,9.2,0.446,0.3,1.1,0.264,3.8,8.1,0.47,0.461,1.7,2.2,0.761,0.6,2.9,3.5,2.2,0.8,0.6,1.3,1.8,10.2
282,Robin Lopez\lopezro01,C,23,PHO,64,0,14,1.9,4.2,0.461,0,0,,1.9,4.2,0.461,0.461,1.6,2.2,0.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2,5.4
320,Markieff Morris\morrima02,PF,22,PHO,63,7,19.5,2.8,6.9,0.399,0.7,2,0.347,2.1,5,0.42,0.448,1.2,1.7,0.717,1.1,3.3,4.4,1,0.7,0.7,1.1,2.8,7.4
327,Steve Nash*\nashst01,PG,37,PHO,62,62,31.6,4.8,9,0.532,0.9,2.3,0.39,3.9,6.7,0.58,0.581,2,2.3,0.894,0.4,2.6,3,10.7,0.6,0.1,3.7,0.9,12.5
